Id,SalePrice
1461,128167.36
1462,156121.39
1463,193584.17
1464,193848.94
1465,183935.88
1466,171331.0
1467,166472.47
1468,167700.02
1469,184606.05
1470,125526.99
1471,200015.28
1472,96950.27
1473,102752.06
1474,137831.16
1475,109135.836
1476,351550.44
1477,245113.36
1478,266111.3
1479,291127.7
1480,547007.6
1481,361610.44
1482,205267.34
1483,182933.62
1484,173637.12
1485,180478.31
1486,206826.56
1487,414867.38
1488,237141.31
1489,207006.92
1490,247748.06
1491,183022.62
1492,99290.086
1493,180354.6
1494,218604.45
1495,278230.38
1496,243538.34
1497,176423.0
1498,172053.95
1499,162413.88
1500,162565.1
1501,189446.61
1502,164646.94
1503,320641.56
1504,238182.53
1505,235048.16
1506,186489.05
1507,256696.5
1508,179257.12
1509,162499.44
1510,145515.27
1511,150423.36
1512,157027.16
1513,141831.98
1514,167488.06
1515,216709.72
1516,165977.95
1517,168205.95
1518,128347.7
1519,233362.27
1520,142400.05
1521,139236.86
1522,168805.64
1523,114063.01
1524,126189.64
1525,124450.19
1526,114918.13
1527,109036.84
1528,138591.5
1529,147405.7
1530,181271.06
1531,140171.84
1532,97017.06
1533,170624.45
1534,123538.9
1535,172110.56
1536,102169.41
1537,86971.36
1538,150306.77
1539,199629.53
1540,136200.4
1541,122352.71
1542,140095.88
1543,180487.11
1544,73482.5
1545,106453.266
1546,124082.04
1547,130940.47
1548,125246.95
1549,107955.375
1550,134743.8
1551,123877.984
1552,146287.33
1553,184884.98
1554,113281.95
1555,161951.94
1556,114078.55
1557,135560.7
1558,95237.42
1559,118653.62
1560,142926.55
1561,141833.97
1562,124484.125
1563,122141.805
1564,176712.0
1565,152187.88
1566,240277.62
1567,85106.53
1568,241069.31
1569,145225.62
1570,129084.016
1571,116710.44
1572,143962.89
1573,229381.78
1574,145821.1
1575,269926.94
1576,249087.66
1577,183776.48
1578,143336.3
1579,157067.08
1580,193951.84
1581,158161.69
1582,120981.1
1583,327076.56
1584,220161.94
1585,149477.77
1586,81289.875
1587,102473.5
1588,157847.19
1589,112622.39
1590,131663.44
1591,98452.58
1592,134938.12
1593,119140.805
1594,147093.17
1595,141041.08
1596,219627.78
1597,179287.9
1598,195199.81
1599,169088.69
1600,169344.05
1601,69772.03
1602,117344.16
1603,88983.05
1604,255835.9
1605,249455.62
1606,149752.0
1607,193029.6
1608,203474.78
1609,188002.78
1610,161490.3
1611,139812.97
1612,170278.88
1613,155939.84
1614,128655.04
1615,82666.05
1616,75660.14
1617,91646.86
1618,121443.21
1619,138379.1
1620,146266.73
1621,136868.14
1622,154361.0
1623,265833.22
1624,252547.05
1625,128994.72
1626,159360.62
1627,189497.5
1628,302816.8
1629,174335.16
1630,353398.53
1631,193780.47
1632,237313.55
1633,190968.5
1634,205600.88
1635,180058.16
1636,149707.81
1637,240038.36
1638,175954.92
1639,177908.27
1640,255947.55
1641,178875.52
1642,238351.31
1643,227690.64
1644,235726.03
1645,190236.5
1646,152414.31
1647,150212.53
1648,136683.11
1649,132421.22
1650,119003.11
1651,118356.0
1652,98724.2
1653,99100.1
1654,131851.48
1655,149231.45
1656,135815.86
1657,132672.3
1658,147781.42
1659,116710.59
1660,169787.1
1661,460831.0
1662,427489.44
1663,368194.25
1664,492170.5
1665,258847.06
1666,346895.28
1667,346276.2
1668,320568.4
1669,274086.66
1670,320073.06
1671,294872.6
1672,510162.28
1673,299048.38
1674,249693.19
1675,204428.02
1676,213248.64
1677,209190.83
1678,548854.56
1679,422595.1
1680,320177.75
1681,211152.44
1682,312089.94
1683,187052.89
1684,171045.64
1685,183178.66
1686,181460.27
1687,181674.25
1688,197031.2
